original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,label_shap
` dragonfly ' is a movie about a bus wreck that turns into a [[film]] [[wreck]] .,` dragonfly ' is a movie about a bus wreck that turns into a [[firm]] [[wrec]] .,0.007345795631408691,0.019719183444976807,0,0,0,21,Failed,
"unfortunately , the picture failed to [[capture]] me .","unfortunately , the picture failed to [[capturN]] me .",0.0006772279739379883,0.002199828624725342,0,0,0,9,Failed,
"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , [[overheated]] pathos and [[long]] , wistful gazes .","the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , [[voerheated]] pathos and [[loyng]] , wistful gazes .",0.024798154830932617,0.05340331792831421,0,0,0,22,Failed,
"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never [[showy]] , film whose bittersweet themes are reinforced and [[brilliantly]] [[personified]] by michel piccoli .","de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never [[shFwy]] , film whose bittersweet themes are reinforced and [[brilliantlTy]] [[peqsonified]] by michel piccoli .",0.14608728885650635,0.46879059076309204,1,1,1,33,Failed,
winds up feeling [[like]] [[lots]] of other quirky movies that try to score hipness points with young adults .,winds up feeling [[liQe]] [[lts]] of other quirky movies that try to score hipness points with young adults .,0.003538072109222412,0.036220014095306396,0,0,0,21,Failed,
"britney has been delivered to the big screen safe and sound , the way we [[like]] our 20-year-old superstar girls to travel on the fame freeway .","britney has been delivered to the big screen safe and sound , the way we [[liTke]] our 20-year-old superstar girls to travel on the fame freeway .",0.36296916007995605,0.8031737804412842,1,0,1,19,Successful,1
it should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and [[moodily]] [[lit]] .,it should be mentioned that the set design and interiors of the haunted vessel are more than effectively creepy and [[moodly]] [[liX]] .,0.04742586612701416,0.5736783742904663,1,0,1,18,Successful,1
"this is [[one]] of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous [[minor]] flaws , scorsese 's [[best]] in more than a decade .","this is [[oAe]] of the most visually stunning and thematically moving epics in recent memory , and in spite of numerous [[imnor]] flaws , scorsese 's [[besM]] in more than a decade .",0.020023465156555176,0.1688569188117981,1,1,1,28,Failed,
watching it is rather like an [[overlong]] visit from a large group of your relatives .,watching it is rather like an [[overlnog]] visit from a large group of your relatives .,0.06278926134109497,0.7662936449050903,0,1,0,13,Successful,0
"there is no entry portal in the rules of attraction , and i spent most of the movie feeling [[depressed]] by the shallow , [[selfish]] , [[greedy]] characters .","there is no entry portal in the rules of attraction , and i spent most of the movie feeling [[depresseM]] by the shallow , [[sefish]] , [[geedy]] characters .",0.002652287483215332,0.007345795631408691,0,0,0,24,Failed,
