"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"NFL Fines Saints' Gleason  #36;5,000 for [[Punch]] (AP)  [[AP]] - Steve [[Gleason]] of the New [[Orleans]] Saints was fined  #36;5,000 by the NFL on Wednesday after being thrown out of last week's game with Carolina for [[punching]] the [[Panthers']] Kemp Rasmussen at the end of a kickoff return.","NFL Fines Saints' Gleason  #36;5,000 for [[Pnch]] (AP)  [[HECTARES]] - Steve [[Mccabe]] of the New [[Gonzales]] Saints was fined  #36;5,000 by the NFL on Wednesday after being thrown out of last week's game with Carolina for [[puncհing]] the [[Pantheⲅs']] Kemp Rasmussen at the end of a kickoff return.",0.001354992389678955,0.045246660709381104,1,1,1,115,"Failed"
"Sparkle [[starts]] [[shipping]] GeForce 6600 GT AGP  &lt;a href=""http://www.hardwareanalysis.com/content/article/1755/""&gt;GeForce [[6600GT]] AGP, as [[good]] as it [[gets]]?&lt;/a&gt; &lt;font size=-1 color=#6f6f6f&gt;&lt;nobr&gt;Hardware Analysis&lt;/nobr&gt;","Sparkle [[staⲅts]] [[freighter]] GeForce 6600 GT AGP  &lt;a href=""http://www.hardwareanalysis.com/content/article/1755/""&gt;GeForce [[6б00GT]] AGP, as [[goоd]] as it [[gtes]]?&lt;/a&gt; &lt;font size=-1 color=#6f6f6f&gt;&lt;nobr&gt;Hardware Analysis&lt;/nobr&gt;",0.08358210325241089,0.5031570196151733,3,3,3,95,"Failed"
"[[Arafat's]] [[Health]] Reported to Have Turned Sharply Worse  An ambulance was called to Yasir Arafat's compound amid unconfirmed reports that he had lost [[consciousness]] at least once.","[[Ara𝚏at's]] [[Sanitary]] Reported to Have Turned Sharply Worse  An ambulance was called to Yasir Arafat's compound amid unconfirmed reports that he had lost [[consϲiousness]] at least once.",0.030585289001464844,0.632439911365509,0,1,0,61,"Successful"
"New federal law ends check floating  A new federal law that went into effect yesterday will eventually eliminate the days of check floating.. However, some Sumner County bankers say it depends on where you bank and ","New federal law ends check floating  A new federal law that went into effect yesterday will eventually eliminate the days of check floating.. However, some Sumner County bankers say it depends on where you bank and ",0.6013435125350952,0.6013435125350952,3,3,2,1,"Skipped"
"[[US]] confirms commitment to defend Taiwan  Mr Powell says that while the US recognises the one-China policy, it will offer to assist Taiwan if it is threatened. A US State Department spokesman says the issue came up during talks with China #39;s visiting military chief, General Liang Guanglie.","[[OURS]] confirms commitment to defend Taiwan  Mr Powell says that while the US recognises the one-China policy, it will offer to assist Taiwan if it is threatened. A US State Department spokesman says the issue came up during talks with China #39;s visiting military chief, General Liang Guanglie.",0.3509403467178345,0.762924075126648,0,3,0,39,"Successful"
"[[England]] sweeps Zims  England has [[swept]] its one-day series against Zimbabwe 4-0 with a 74-run win in Bulawayo. Veteran Darren Gough took [[4-34]] as Zimbabwe was bowled out for 187 chasing [[262]] for victory.","[[Englanԁ]] sweeps Zims  England has [[swep𝚝]] its one-day series against Zimbabwe 4-0 with a 74-run win in Bulawayo. Veteran Darren Gough took [[Ꮞ-34]] as Zimbabwe was bowled out for 187 chasing [[ᒿ62]] for victory.",0.00043576955795288086,0.08020204305648804,1,1,1,59,"Failed"
"Dollar Rises on the Interest Rate Plays   NEW YORK (Reuters) - The dollar rose on Thursday as  traders, short of dollars after relentlessly selling them for  weeks, looked to the growing yield advantage of U.S. assets as  a reason to buy back the currency before the end of the year.","Dollar Rises on the Interest Rate Plays   NEW YORK (Reuters) - The dollar rose on Thursday as  traders, short of dollars after relentlessly selling them for  weeks, looked to the growing yield advantage of U.S. assets as  a reason to buy back the currency before the end of the year.",0.6522517204284668,0.6522517204284668,3,3,2,1,"Skipped"
"Optimism [[Drives]] Google Shares to New Highs (Reuters)  Reuters - Stock of Google Inc.  powered\to new highs on Friday, buoyed by the web search leader's new\products and growth prospects, which complement its [[recent]]\strong financial results, analysts said.","Optimism [[Disk]] Google Shares to New Highs (Reuters)  Reuters - Stock of Google Inc.  powered\to new highs on Friday, buoyed by the web search leader's new\products and growth prospects, which complement its [[newly]]\strong financial results, analysts said.",0.16607481241226196,0.5854353904724121,3,2,3,56,"Successful"
"[[LIFFE]] ratchets up price war with Merc  Derivatives exchange LIFFE turned up the heat on rival Chicago Mercantile Exchange on Tuesday by ratcheting up its fee incentive program for some US traders in a bid improve volume in its Eurodollar contract, the CME #39;s flagship offering.","[[LIFE]] ratchets up price war with Merc  Derivatives exchange LIFFE turned up the heat on rival Chicago Mercantile Exchange on Tuesday by ratcheting up its fee incentive program for some US traders in a bid improve volume in its Eurodollar contract, the CME #39;s flagship offering.",0.3814238905906677,0.544543981552124,2,3,2,32,"Successful"
"Surprise Chargers #39; air power changing Marty #39;s stripes  KANSAS CITY, Mo. -- The San Diego Chargers players couldn #39;t quite [[believe]] what they were hearing, nor would [[many]] in the [[crowd]] at [[Arrowhead]] [[Stadium]] if they were privy to it.","Surprise Chargers #39; air power changing Marty #39;s stripes  KANSAS CITY, Mo. -- The San Diego Chargers players couldn #39;t quite [[belieѵe]] what they were hearing, nor would [[multiple]] in the [[corwd]] at [[Arrowհead]] [[Gymnasium]] if they were privy to it.",0.01664412021636963,0.23571300506591797,1,1,1,93,"Failed"
