original_text,perturbed_text,original_score,perturbed_score,original_output,perturbed_output,ground_truth_output,num_queries,result_type,label_shap
` dragonfly ' is a movie about a [[bus]] wreck that turns into a film [[wreck]] .,` dragonfly ' is a movie about a [[omnibus]] wreck that turns into a film [[shipwreck]] .,0.007345795631408691,0.048136770725250244,0,0,0,31,Failed,
"[[unfortunately]] , the picture failed to capture me .","[[alas]] , the picture failed to capture me .",0.0006772279739379883,0.0016230344772338867,0,0,0,15,Failed,
"the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , [[overheated]] pathos and [[long]] , wistful gazes .","the tug-of-war at the core of beijing bicycle becomes weighed down with agonizing contrivances , [[warming]] pathos and [[ⅼong]] , wistful gazes .",0.024798154830932617,0.22000712156295776,0,0,0,42,Failed,
"de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never [[showy]] , film whose bittersweet themes are reinforced and [[brilliantly]] personified by michel piccoli .","de oliveira creates an emotionally rich , poetically plump and visually fulsome , but never [[showу]] , film whose bittersweet themes are reinforced and [[brillian𝚝ly]] personified by michel piccoli .",0.14608728885650635,0.5389832258224487,1,0,1,50,Successful,0
winds up feeling [[like]] lots of other quirky [[movies]] that try to score hipness points with young adults .,winds up feeling [[adores]] lots of other quirky [[moveis]] that try to score hipness points with young adults .,0.003538072109222412,0.08269733190536499,0,0,0,36,Failed,
"britney has been delivered to the big screen safe and sound , the way we like our 20-year-old [[superstar]] girls to travel on the fame freeway .","britney has been delivered to the big screen safe and sound , the way we like our 20-year-old [[superstars]] girls to travel on the fame freeway .",0.36296916007995605,0.6150878667831421,1,0,1,31,Successful,0
it should be mentioned that the set design and interiors of the [[haunted]] vessel are more than [[effectively]] creepy and moodily lit .,it should be mentioned that the set design and interiors of the [[haun𝚝ed]] vessel are more than [[effective]] creepy and moodily lit .,0.04742586612701416,0.5660185217857361,1,0,1,43,Successful,0
"this is one of the most visually stunning and thematically moving epics in recent [[memory]] , and in spite of numerous [[minor]] flaws , scorsese 's [[best]] in more than a decade .","this is one of the most visually stunning and thematically moving epics in recent [[memoⲅy]] , and in spite of numerous [[underage]] flaws , scorsese 's [[bes𝚝]] in more than a decade .",0.020023465156555176,0.6039318442344666,1,0,1,52,Successful,1
watching it is rather like an [[overlong]] visit from a large group of your relatives .,watching it is rather like an [[overlonɡ]] visit from a large group of your relatives .,0.06278926134109497,0.7371581792831421,0,1,0,19,Successful,0
"there is no entry portal in the rules of [[attraction]] , and i spent most of the movie feeling [[depressed]] by the shallow , [[selfish]] , greedy characters .","there is no entry portal in the rules of [[a𝚝traction]] , and i spent most of the movie feeling [[pressed]] by the shallow , [[seⅼfish]] , greedy characters .",0.002652287483215332,0.013848602771759033,0,0,0,59,Failed,
"the film benefits greatly from a less manic tone than its predecessor , as cho appears to have settled comfortably into her [[skin]] .","the film benefits greatly from a less manic tone than its predecessor , as cho appears to have settled comfortably into her [[s𝒌in]] .",0.04958897829055786,0.6334102153778076,1,0,1,25,Successful,1
"an earnest , [[heartrending]] look at the divide between religious fundamentalists and their gay relatives .","an earnest , [[heartrendinɡ]] look at the divide between religious fundamentalists and their gay relatives .",0.2974699139595032,0.5234203338623047,1,0,1,28,Successful,0
"in his debut as a film director , denzel washington [[delivers]] a lean and [[engaging]] work .","in his debut as a film director , denzel washington [[deilvers]] a lean and [[еngaging]] work .",0.0021827220916748047,0.06853747367858887,1,1,1,41,Failed,
